x,y,time,value
175,1914,-1216800,0.508
175,1914,-1216797,0.569
175,1914,-1216795,0.508
176,1915,-1194842,0.508
176,1915,-1194842,0.508
177,1915,-1194780,0.508
178,1915,-1194720,0.539
178,1915,-1194717,0.508
179,1915,-1194657,0.508
193,1915,-1193820,0.508
204,1915,-1193105,0.508
205,1915,-1193102,0.539
206,1915,-1193042,0.569
206,1915,-1193040,0.569
206,1915,-1193042,0.569
206,1915,-1193040,0.569
207,1915,-1192982,0.508
207,1915,-1192980,0.569
207,1915,-1192977,0.508
208,1915,-1192920,0.508
208,1915,-1192917,0.539
208,1915,-1192915,0.508
209,1915,-1192857,0.508
209,1915,-1192855,0.508
3,1916,-1183292,0.508
4,1916,-1183230,0.508
4,1916,-1183227,0.508
5,1916,-1183167,0.508
17,1916,-1182452,0.508
18,1916,-1182392,0.508
50,1917,-1158512,0.539
50,1917,-1158510,0.508
51,1917,-1158450,0.508
51,1917,-1158447,0.539
157,1917,-1152120,0.508
340,1919,-1097310,0.515
341,1919,-1097247,0.545
343,1919,-1097125,0.515
343,1919,-1097122,0.515
4,1920,-1095570,0.515
5,1920,-1095510,0.545
5,1920,-1095507,0.515
6,1920,-1095450,0.515
6,1920,-1095447,0.545
6,1920,-1095445,0.515
7,1920,-1095385,0.515
139,1920,-1087500,0.515
140,1920,-1087437,0.515
168,1920,-1085760,0.545
168,1920,-1085757,0.545
169,1920,-1085700,0.515
169,1920,-1085697,0.576
169,1920,-1085695,0.545
170,1920,-1085637,0.515
170,1920,-1085635,0.545
170,1920,-1085632,0.545
171,1920,-1085572,0.515
194,1920,-1084145,0.545
195,1920,-1084142,0.515
195,1920,-1084085,0.545
195,1920,-1084142,0.515
195,1920,-1084085,0.545
196,1920,-1084082,0.606
196,1920,-1084080,0.545
197,1920,-1084022,0.545
197,1920,-1084020,0.576
197,1920,-1084017,0.515
198,1920,-1083960,0.576
198,1920,-1083957,0.576
198,1920,-1083955,0.515
199,1920,-1083897,0.545
199,1920,-1083895,0.515
200,1920,-1083835,0.545
200,1920,-1083832,0.545
222,1920,-1082467,0.515
223,1920,-1082405,0.515
224,1920,-1082345,0.515
225,1920,-1082342,0.576
225,1920,-1082340,0.515
225,1920,-1082342,0.576
225,1920,-1082340,0.515
226,1920,-1082282,0.576
226,1920,-1082280,0.576
227,1920,-1082220,0.576
227,1920,-1082217,0.515
228,1920,-1082157,0.515
359,1920,-1074272,0.545
359,1920,-1074270,0.545
360,1920,-1074210,0.515
360,1920,-1074210,0.515
215,1925,-973320,0.539
216,1925,-973260,0.508
216,1925,-973257,0.539
217,1925,-973197,0.508
261,1930,-860945,0.508
313,1931,-835950,0.508
313,1931,-835947,0.508
314,1931,-835887,0.539
314,1931,-835885,0.508
315,1931,-835827,0.508
315,1931,-835825,0.539
316,1931,-835765,0.508
316,1931,-835762,0.508
342,1931,-834210,0.508
342,1931,-834207,0.508
343,1931,-834147,0.539
343,1931,-834145,0.508
303,1932,-814650,0.508
303,1932,-814647,0.508
304,1932,-814587,0.539
305,1932,-814525,0.539
332,1932,-812910,0.508
332,1932,-812907,0.508
333,1932,-812847,0.508
334,1932,-812785,0.539
14,1934,-788130,0.508
15,1934,-788067,0.508
363,1936,-723387,0.523
23,1940,-656130,0.517
24,1940,-656070,0.517
24,1940,-656067,0.548
25,1940,-656007,0.517
304,1940,-639272,0.517
304,1940,-639270,0.517
305,1940,-639210,0.548
305,1940,-639207,0.517
306,1940,-639150,0.517
306,1940,-639147,0.548
323,1941,-616170,0.517
324,1941,-616107,0.517
324,1941,-616107,0.517
341,1942,-593190,0.508
342,1942,-593127,0.508
342,1942,-593125,0.508
343,1942,-593065,0.508
5,1943,-591450,0.508
5,1943,-591447,0.508
224,1943,-578287,0.508
224,1943,-578287,0.508
225,1943,-578285,0.508
226,1943,-578225,0.539
226,1943,-578222,0.508
227,1943,-578162,0.539
227,1943,-578160,0.508
228,1943,-578102,0.539
228,1943,-578100,0.569
229,1943,-578042,0.539
229,1943,-578040,0.6
229,1943,-578037,0.569
230,1943,-577980,0.508
230,1943,-577977,0.539
253,1943,-576547,0.508
255,1943,-576485,0.508
256,1943,-576425,0.508
256,1943,-576422,0.539
257,1943,-576362,0.539
